",""COD.IBGE7"",""REGIÃO"",""UF"",""PORTE"",""MUNICÍPIO"",""falha em educaçãoo"",""ANO_FALHA"",""tempofalha"",""serv_esta_med"",""serv_per_cap_med"",""Conselho edu criação"",""idad_Conselho edu"",""Falha_ant_Consel"",""soma contratos"",""NEP"",""Ideologia"",""Arrec_Prop"",""PIBpercapita"",""IDHM"",""tm"",""PERCENT_ganhador"",""TaxadeUrbanizaÁ„o"",""Sul"",""centro_Oeste"",""Sudeste"",""Nordeste"",""Norte"",""POP"",""LN_POP"",""RM"""
"35,""1100940"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Cujubim"",""0"",""2012"",""12"",""0.7759189215"","" 33.253420"",""-"","" 0"",""1"","" 9"",""2.506523"",""6.74"","" 140.927330"",""  9248.2000"",""0.737"",""0.31692739"",""0.421964"",""0.693000"",""0"",""0"",""0"",""0"",""1"",""   4096"","" 8.317766"",""0"""
"36,""1101005"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Governador Jorge Teixeira"",""0"",""2012"",""12"",""0.7102500254"","" 33.217238"",""2006"","" 6"",""0"","" 7"",""2.627056"",""8.02"",""  27.751741"",""  9680.4800"",""0.694"",""0.32255353"",""0.399064"",""0.222000"",""0"",""0"",""0"",""0"",""1"",""  10607"","" 9.269269"",""0"""
"37,""1101104"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Itapu„ do Oeste"",""1"",""2005"","" 5"",""0.8184979346"","" 50.272933"",""1997"","" 8"",""0"","" 3"",""2.411142"",""8.58"",""  50.817510"",""  6786.9930"",""0.495"",""0.29752513"",""0.469507"",""0.600000"",""0"",""0"",""0"",""0"",""1"",""   5220"","" 8.560253"",""0"""
"38,""1101203"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Ministro Andreazza"",""0"",""2012"",""12"",""0.8899998421"","" 33.832683"",""1997"",""15"",""0"","" 6"",""1.745014"",""6.80"",""  24.524473"","" 10278.4100"",""0.743"",""0.30656154"",""0.573061"",""0.316000"",""0"",""0"",""0"",""0"",""1"",""  10446"","" 9.253974"",""0"""
"39,""1101302"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Mirante da Serra"",""0"",""2012"",""12"",""0.8593723596"","" 32.948537"",""2006"","" 6"",""0"","" 9"",""2.714155"",""6.12"","" 122.629774"",""  8969.3800"",""0.724"",""0.32945304"",""0.407071"",""0.523000"",""0"",""0"",""0"",""0"",""1"",""  13157"","" 9.484709"",""0"""
"40,""1101401"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Monte Negro"",""0"",""2012"",""12"",""0.6239766385"","" 34.548747"",""2010"","" 2"",""0"","" 4"",""2.158093"",""6.26"","" 156.959027"","" 10535.2700"",""0.506"",""0.28541736"",""0.495722"",""0.490000"",""0"",""0"",""0"",""0"",""1"",""   9452"","" 9.153982"",""0"""
"41,""1101435"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Nova Uni„o"",""0"",""2012"",""12"",""0.7293339372"","" 37.978457"",""-"","" 0"",""1"","" 7"",""1.473814"",""6.69"","" 148.975468"",""  8309.5800"",""0.662"",""0.35601107"",""0.678512"",""0.182000"",""0"",""0"",""0"",""0"",""1"",""   6403"","" 8.764522"",""0"""
"42,""1101450"",""1 - Nort"",""11"",""1 - AtÈ 5000"",""Parecis"",""0"",""2012"",""12"",""0.8201632092"","" 53.055963"",""-"","" 0"",""1"","" 2"",""2.128324"",""8.02"",""  65.580511"","" 12006.2500"",""0.676"",""0.26523294"",""0.501490"",""0.378000"",""0"",""0"",""0"",""0"",""1"",""   4136"","" 8.327484"",""0"""
"43,""1101468"",""1 - Nort"",""11"",""1 - AtÈ 5000"",""Pimenteiras do Oeste"",""0"",""2012"",""12"",""0.6198100439"","" 82.213796"",""-"","" 0"",""1"","" 3"",""1.936473"",""6.80"",""  36.203125"","" 24485.2800"",""0.603"",""0.16212862"",""0.516403"",""0.565000"",""0"",""0"",""0"",""0"",""1"",""   2342"","" 7.758761"",""0"""
"44,""1101476"",""1 - Nort"",""11"",""1 - AtÈ 5000"",""Primavera de RondÙnia"",""0"",""2012"",""12"",""0.7899932989"","" 60.704775"",""-"","" 0"",""1"","" 3"",""1.975469"",""6.80"",""  38.350441"","" 10720.5500"",""0.752"",""0.32054843"",""0.506209"",""0.344000"",""0"",""0"",""0"",""0"",""1"",""   4149"","" 8.330623"",""0"""
"45,""1101484"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""S„o Felipe D'Oeste"",""0"",""2012"",""12"",""0.7160200238"","" 37.032796"",""-"","" 0"",""1"","" 4"",""1.867009"",""6.12"",""  36.181836"","" 10812.1700"",""0.639"",""0.28887029"",""0.535616"",""0.230000"",""0"",""0"",""0"",""0"",""1"",""   6690"","" 8.808369"",""0"""
"46,""1101492"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""S„o Francisco do GuaporÈ"",""0"",""2012"",""12"",""0.5332407746"","" 32.959992"",""-"","" 0"",""1"","" 4"",""2.567129"",""6.69"",""  38.231814"","" 10972.2000"",""0.528"",""0.26641394"",""0.429653"",""0.525000"",""0"",""0"",""0"",""0"",""1"",""   7041"","" 8.859505"",""0"""
"47,""1101500"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Seringueiras"",""0"",""2012"",""12"",""0.8587057530"","" 30.944485"",""2010"","" 2"",""0"","" 2"",""2.477294"",""6.26"",""  30.805159"",""  9959.5800"",""0.652"",""0.29717669"",""0.427851"",""0.334000"",""0"",""0"",""0"",""0"",""1"",""   9117"","" 9.117896"",""0"""
"48,""1101559"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""TeixeirÛpolis"",""0"",""2012"",""12"",""0.8450502995"","" 46.362549"",""2011"","" 1"",""0"","" 6"",""1.597163"",""3.83"",""  47.593436"",""  9956.9900"",""0.643"",""0.30209463"",""0.626110"",""0.254000"",""0"",""0"",""0"",""0"",""1"",""   5179"","" 8.552367"",""0"""
"49,""1101609"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Theobroma"",""0"",""2012"",""12"",""0.7957660940"","" 37.826725"",""-"","" 0"",""1"","" 8"",""1.894017"",""4.02"","" 136.030172"","" 11925.4700"",""0.589"",""0.26054114"",""0.579659"",""0.180000"",""0"",""0"",""0"",""0"",""1"",""   8873"","" 9.090768"",""0"""
"50,""1101708"",""1 - Nort"",""11"",""3 - 10001 atÈ 20000"",""Urup·"",""0"",""2012"",""12"",""0.8533093965"","" 24.304339"",""-"","" 0"",""1"","" 0"",""2.369272"",""3.55"",""  62.631679"",""  8109.9600"",""0.609"",""0.36140397"",""0.449400"",""0.363000"",""0"",""0"",""0"",""0"",""1"",""  14767"","" 9.600150"",""0"""
"51,""1101757"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Vale do Anari"",""0"",""2012"",""12"",""0.7920736609"","" 35.153679"",""-"","" 0"",""1"","" 5"",""2.001520"",""6.74"",""  46.819612"","" 10809.1300"",""0.584"",""0.29072938"",""0.510502"",""0.270000"",""0"",""0"",""0"",""0"",""1"",""   6621"","" 8.798002"",""0"""
"52,""1101807"",""1 - Nort"",""11"",""2 - 5001 atÈ 10000"",""Vale do ParaÌso"",""0"",""2012"",""12"",""0.7432172492"","" 40.595219"",""2006"","" 6"",""0"","" 1"",""3.251431"",""4.02"",""  73.186579"","" 10979.5200"",""0.627"",""0.27218830"",""0.339942"",""0.266000"",""0"",""0"",""0"",""0"",""1"",""   9271"","" 9.134647"",""0"""
